Trait	Fold	Avg_Cor	SD	Heritability
MiddleLeafAngle	2	0.4620574270949959	0.027240532055894225	0.8320838047656566
MiddleLeafAngle	5	0.5000730221046762	0.013183674279064762	0.8320838047656566
MiddleLeafAngle	10	0.5115663512137605	0.010186904597606145	0.8320838047656566
PlantHeight	2	0.5667247679362669	0.022185668154048824	0.905037255569374
UpperLeafAngle	2	0.6030791371776646	0.016133653708613912	0.8728073050099118
PlantHeight	5	0.6081805601287877	0.01065481716365361	0.905037255569374
PlantHeight	10	0.6159587613186307	0.00971975161460263	0.905037255569374
UpperLeafAngle	5	0.6290157288422196	0.0077918270582791	0.8728073050099118
UpperLeafAngle	10	0.633538449136567	0.005410976498565682	0.8728073050099118
EarHeight	2	0.6462590229563739	0.014148477396364979	0.9110162898704478
EarHeight	5	0.6794489996277578	0.0072689170544923834	0.9110162898704478
EarHeight	10	0.6835625023289625	0.006161603216215906	0.9110162898704478
