Trait	Fold	Avg_Cor	SD	Heritability
MiddleLeafAngle	2	0.3891562169	0.038036019251772996	0.9046528715246073
MiddleLeafAngle	5	0.45950451382	0.01820844350713028	0.9046528715246073
MiddleLeafAngle	10	0.46930938704	0.017250958367198563	0.9046528715246073
UpperLeafAngle	2	0.50340070926	0.03338824966352907	0.884394786249336
UpperLeafAngle	5	0.5380540513	0.017420977943840933	0.884394786249336
UpperLeafAngle	10	0.54471420036	0.015436044838903384	0.884394786249336
PlantHeight	2	0.55655524986	0.035732867299467834	0.9055394002514455
PlantHeight	5	0.60547424834	0.020015437240690392	0.9055394002514455
PlantHeight	10	0.61688044306	0.012070690225539226	0.9055394002514455
EarHeight	2	0.62703741528	0.023862153516307116	0.8937091301557283
EarHeight	5	0.66486353072	0.013669036397645103	0.8937091301557283
EarHeight	10	0.66973252512	0.008369796388938883	0.8937091301557283
