Genotype	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	TotalKernelWeight	UpperLeafAngle
33-16	4.5140869624440345	26.82877102723394	15.189996778165469	80.95246983586472	79.2916496847	36.84422442702759	64.5448304443637	128.5248857268892	23.930455647708953	16.17326150950598	76.85937637752733	29.653064487643544	955.5723040110046	931.1553901973664	6.101444865903239	677.3525009342482	90.76760297653587	228.540143428376	74.69117378687892	3.3207773284763062	14.064462996731233	66.21517384568234	146.47025610001089	0.4939428508204977	110.74859961319021	6.669012023732123	23.584331986455393	13.812585727328578	6.693303940408165	NA	336.9349314255734	15.948565910479656	0.6047575083400404	70.55685483150646	60.566355856443764	65.08135848651665
38-11	4.302985892315332	25.574570534944506	17.04203856215047	81.3313804595009	80.27689427389609	37.56159210942564	85.18864002614421	149.57380041686585	25.49209224067932	15.22769163109625	82.88189056182661	16.92542982599736	969.4551819079057	960.1822189560379	7.597286971706923	863.606929928393	87.87530920681452	229.74280895158668	53.230246136925025	5.220780268348926	15.761433397846613	63.125330004643615	147.28568592775036	2.4820894880875484	128.8819630124113	7.104449770537369	30.22847292107332	17.06010256365054	7.880479564389628	229.248382005247	345.3426194569704	10.731066502641793	0.5326445139676778	57.690952338309536	64.32901493462009	60.65326638604238
4226	4.247398515101964	25.984187132476134	17.119883510790967	71.41858875789057	70.33753132459249	39.29346062834695	72.10537989040452	135.12127744790686	21.919724215867312	13.037954403548648	76.31256190492056	16.781932090585546	831.5293991838096	827.4839358819772	6.378452663274291	737.4247921422924	91.62343611967114	222.4988949509252	47.98943634269268	4.455958462208754	14.37616008835298	67.0430469385702	145.6334105007653	2.047672651496302	124.35996032261394	5.798136530121633	26.1045233754484	17.33072896667737	7.3948168091244835	177.69579191286198	318.3957347985199	20.059261261481424	0.5326445139676778	65.45418753232389	58.703437730073674	37.80209598072061
4722	3.296641186390638	24.92750890832033	22.433975002827914	80.62715021099315	78.42337154068956	32.02020590245426	75.19778683157936	138.03051917123287	22.144913554082965	12.135970373727348	48.63066327742954	33.42234630425027	966.7258099122745	936.7130935596408	6.987869817490607	764.8558875617871	92.74588399978661	218.38402062811952	61.74656205255259	4.123249795187504	14.209498422212537	62.73217202543166	145.86944984747745	4.321814664684409	118.99562776886034	7.177022728338244	22.438790446004028	15.70697054851639	7.9344420927524215	224.35325571674014	343.0817037248189	10.583465925932716	0.6609076848704433	50.07484978017814	34.57781756458176	63.39337897274609
A188	5.039356935627062	23.9069728240234	12.537048440619298	65.79976260654797	65.47743313584733	39.317123578301285	35.71012896734683	122.51224757518048	20.375775674570725	12.475409864499692	67.99513327207433	10.977429125446244	744.9439500064716	745.0124423770455	8.040499447500608	618.7769554069163	73.82206421158548	228.77228337809618	61.74656205255259	4.617176463110516	14.643948151786638	65.8484472089399	111.40770522750384	1.29927096462878	111.42159147776434	4.346677374104147	18.543949208469382	16.24822335457005	7.6646294509384525	169.96799466990365	333.3054087345904	14.935158135620792	0.5443315383111148	62.09174064236909	54.20722708907193	43.055288754900765
A214N	4.412883812727886	23.385894463782815	12.833243872326626	86.48290345868145	87.05188559679316	34.02525716090853	78.24600336355277	138.3054513521473	19.77693806423903	12.372098856188178	53.06723939978767	-4.765897288250805	990.1695803491036	1017.5654757603213	6.489255782222712	704.4673529148108	80.22544752368654	219.25454543957005	65.02206817394782	3.6139138336487333	13.127704144201324	67.04570399096835	145.24259263782258	1.2122375938012717	113.22501785071638	6.523866108130376	23.35522367836512	19.766366593918843	7.77255450766404	207.2922667883697	286.3557765060679	7.125957047002465	0.6220489693506671	53.593722711137026	40.74156290275984	70.59203272939583
A239	5.384459247644365	24.342965100409963	13.86123346493534	71.8435203394607	71.31434423660423	36.353024052040816	45.46310470489824	121.88841194183738	20.43595402846325	12.602848083267707	69.17311284488913	9.726273082198388	832.9413527387613	829.394344187682	6.323051103800081	667.1710664212706	76.9214809421095	243.81250079525316	57.81595470687833	3.8242144967624077	13.087447212048257	69.02644582078226	114.7122560814739	0.8884198590924628	108.9397406288138	7.249595686139118	22.897007062184574	14.08321213035541	7.3948168091244835	196.05282685209275	324.0523034465372	5.113500941182332	0.5443315383111148	60.484677507469705	55.412588297666154	57.92517508620424
A272	4.139579366526503	20.8271498434081	8.847131332656161	75.12828381186745	73.763336728807	30.44362176731684	49.327896835012076	113.29516708806409	18.928505673273797	11.22196368892456	39.91441734084573	29.371509363061833	882.8031005979075	852.211395868367	4.2177918437800805	641.465981007171	75.87843527522769	204.80383356949076	44.50870264183819	NA	NA	NA	135.07729392955548	0.8633391887121589	99.26581491335354	4.709542163108519	24.958981834997036	14.35383853338224	7.017079110584928	158.04982189050338	266.6275644599182	9.808507039275934	0.5443315383111148	50.24818625132357	31.274356948547556	51.517261597353524
A441-5	5.910572371321399	24.42678678391277	14.20086049903644	81.49466921065067	79.78005614070587	37.5133551040993	48.27632932488332	106.32209082403566	18.433567121749594	11.594901378287762	59.31849309395295	27.856843854364705	971.8309236878328	948.1146617921999	6.932468258016397	753.1514430982011	101.12754833513844	177.99166937681338	62.401663276831634	3.474758709684761	14.34482631740961	67.1164007869902	105.102695174409	1.3323015230381197	106.24567319981179	6.814157939333872	24.500765218816486	18.68386098181152	7.6646294509384525	142.10666430864975	252.75342127019272	12.789118141802012	0.6408140055262217	62.925129650795654	51.58953025944165	52.380138269014076
A554	3.7944855382039115	23.934817790301953	12.847189111204255	64.25272909245736	64.04251478051692	36.37401733578475	41.966924264110816	103.50904078257045	19.235889798782182	13.068376929867252	54.96278333001507	8.155803752617553	738.2354569071022	731.5540469136959	6.821665139067976	583.8235916443617	70.3600724208967	188.92688896279216	59.126157155436424	3.8597217390978145	16.000158863344012	61.89812475745117	105.88464122889113	1.29927096462878	97.17267149798346	4.491823289705896	21.98057382982348	23.28450983326763	7.232929224036102	173.00171137738735	273.5358140813171	9.242073221291093	0.5326445139676778	53.94713153818398	42.097065433805554	36.88243049935628
