Trait	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	GerminationCount	StandCount	StandCount	StandCount	StandCount	StandCount	StandCount	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaystoSilk	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	DaysToTassel	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoSilk	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDDaystoTassel	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	GDDAnthesis-SilkingInterval	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	TasselLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	MainSpikeLength	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselPrimaryBranches	TasselBranchLength	TasselBranchLength	TasselBranchLength	TasselBranchLength	Spikelets-MainSpike	Spikelets-MainSpike	Spikelets-PrimaryBranch	Spikelets-PrimaryBranch	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	SecondaryBranchNumber	TasselSterility	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	PlantHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	EarHeight	NumberofLeaves	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafLength	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	LeafWidth	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	UpperLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	MiddleLeafAngle	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	TilleringIndex	UpperLeafAngle-BorderPlant	LeafWidth-BorderPlant	LeafSheathLength	TilleringIndex-BorderPlant	Phylotaxy	NumberofTilleringPlants	NumberofTilleringPlants	SizeofTillers	NR	NR	CS	GS	GLDH	AlaAT	AGPase	ShikDH	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRStarch	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIRProtein	NIROil	NIROil	NIROil	NIROil	NIROil	NIROil	NorthernLeafBlight	NorthernLeafBlight(Percentage)	NorthernLeafBlight(Percentage)	NorthernLeafBlight-IncubationPeriod	SouthernLeafBlight	SouthernLeafBlight	SouthernLeafBlight	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobDiameter	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	CobWeight	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarDiameter	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	EarLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	SeedSetLength	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	EarRowNumber	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	TotalKernelVolume	KernelFillPercentage	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarWeight	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	EarRankNumber	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	20KernelWeight	RowQuality	RowQuality	HerbicideSensitivity
Env	65	06A	06CL1	06FL1	07K	08A	26M3	06CL1	06PR	07A	07CL1	08A	27M3	65	06A	06CL1	06PR	07A	07CL1	07U	08A	26M3	27M3	65	06A	06CL1	06PR	07A	07CL1	07U	08A	26M3	27M3	06A	06CL1	06FL1	06PR	07A	07CL1	07FL1	07U	26M3	27M3	65	06A	06CL1	06FL1	06PR	07A	07CL1	07FL1	07U	26M3	27M3	65	06A	06CL1	06FL1	06PR	07A	07CL1	07FL1	07U	26M3	27M3	65	06A	06CL1	06FL1	06PR	07A	07U	26M3	65	06A	06CL1	06FL1	06PR	07A	07U	26M3	65	06A	06CL1	06FL1	06PR	07A	07U	26M3	65	06A	06PR	07A	65	07U	65	07U	65	06A	06PR	07A	26M3	07A	65	06A	06CL1	06FL1	06PR	07A	07CL1	07FL1	07U	26M3	27M3	65	06A	06CL1	06FL1	06PR	07A	07CL1	07FL1	07U	26M3	27M3	08A	65	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3	65	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3	65	06A	06CL1	06FL1	06PR	07A	07CL1	07U	26M3	65	06A	06CL1	06PR	07A	07CL1	26M3	06A	06CL1	07CL1	08A	08P	07A	07A	07FL1	07A	07A	07A	08A	08A	07B	09B	07B	07B	07B	07B	07B	07B	06A	06CL1	06FL1	06PR	07A	26M3	27M3	06A	06CL1	06FL1	06PR	07A	26M3	06A	06CL1	06FL1	06PR	07A	26M3	06A	06A	07K	07K	06CL1	07CL1	07FL1	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	65	65	06A	06CL1	06FL1	06PR	07A	07CL1	08A	65	06A	06CL1	06FL1	06PR	07CL1	08A	06A	06CL1	06FL1	06PR	07A	07CL1	08A	06A	07FL1	08A
33-16	13	3	10.5	6	NaN	1	2	7	8	3	4	NaN	NaN	86	104	74	58	94	73	78	88	74	NaN	84	103	73	56	89	72	78	87	72	NaN	964.80278	894.2908325	976.663335	980.55278	961.110555	927.831665	904.72111	987.134445	1012.581665	NaN	982.77	964.80278	876.110555	888.331665	948.610555	904.163335	910.02389	879.44222	987.134445	975.94222	NaN	36.97	0	18.1802775	88.331665	31.94222	56.94222	17.80278	25.27389	0	36.634445	NaN	363	309	365.5	293	292	311	400	369	241	258	221	218	204	196	278	212	22	7	19.5	11	15	19	20	16	NaN	NaN	NaN	NaN	27	20	14	11	NaN	NaN	NaN	1	0	NaN	165	NaN	185	85	150	140	155	105	NaN	175	NaN	80	NaN	80	25	60	70	65	35	NaN	85	NaN	3	625	696	703	585	656	790	622	682	715	101	81	96.25	87	82	86	83	96	108	65	60	70	60	70	NaN	65	NaN	NaN	NaN	85	77.5	NaN	NaN	NaN	NaN	0	0	1	NaN	NaN	NaN	NaN	138	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.34	64.01	68.39	67.42	NaN	NaN	NaN	13.23	14.055	15	13.95	NaN	NaN	3.83	2.47	2.83	3.5	NaN	NaN	2	NaN	NaN	NaN	8	7.5	4.5	NaN	NaN	28.605	NaN	26	28	26.25	NaN	15	NaN	21.9625	NaN	10.5	12.9	19.15	NaN	34	31	44.23	NaN	38	35	40.05	NaN	149	99	162.5875	NaN	NaN	117	145.42	NaN	132	85	NaN	NaN	106	139.215	NaN	16	NaN	17.75	NaN	NaN	NaN	17	NaN	90	NaN	131.25	NaN	60	NaN	78	NaN	111.9275	NaN	55	NaN	92.35	NaN	27	NaN	28	NaN	NaN	32	NaN	NaN	5.0325	NaN	5.1	NaN	3.95	NaN	4	3	NaN
38-11	12	6	12	6	NaN	10	3	8	8	10	7	NaN	NaN	86	NaN	78.5	59	86	75	82	90	74	NaN	84	NaN	77	58	84	74	86	88	71	NaN	NaN	975.4422225	NaN	997.22111	870.27389	956.884445	951.94222	1055.75	1012.581665	NaN	982.77	NaN	948.485555	NaN	980.55278	841.663335	944.05278	936.110555	1128.02389	958.47111	NaN	36.97	NaN	26.9541675	NaN	16.663335	28.610555	12.831665	15.831665	-72.27389	54.110555	NaN	338	368	363.5	NaN	342.5	336	357	381	221	260	242	NaN	233	207	225	252	10	12	10.5	NaN	10	11	9	16	NaN	226	226	240	35	41	17	20	NaN	3	2	2	NaN	NaN	165	135	170	45	155	165	175	120	180	170	NaN	90	60	97.5	15	90	115	95	65	125	110	NaN	5.666666667	835	867	904.5	NaN	865	823	905	986	874	92	89	77.5	NaN	83	75	90	95	118	67.5	60	67.5	55	60	60	55	NaN	NaN	NaN	50	57.5	NaN	45	NaN	NaN	0	0	0	NaN	NaN	80	NaN	139	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	59.47	NaN	62.83	NaN	NaN	NaN	NaN	17.25	NaN	16.05	NaN	NaN	NaN	5.74	NaN	5.12	NaN	NaN	3	NaN	NaN	NaN	7.75	6.75	7	27	20	25.115	NaN	25	27	27.94	30.5	20.7	11.6	10.515	NaN	12.2	20.6	23.255	31	33	27	NaN	NaN	38	45	40.65	47.5	165	120	158.55	NaN	132	174	181.29	182.5	96	NaN	NaN	106	159	172.925	173.5	14	12	NaN	NaN	16	16	17	19	72	30	NaN	NaN	70	80	80.4	26	NaN	NaN	57	110	129.49	158.5	32	NaN	NaN	NaN	25	36	NaN	NaN	NaN	NaN	3.4	4.3	4.905	4.6	3	3	NaN
4226	10	1	11	5	NaN	8	3	3.5	8	11	6	NaN	NaN	75	NaN	67	51	76	64	69	81	66	NaN	75	95	66.5	50	73	65	64	78	65	NaN	NaN	787.2908325	888.331665	865.27389	736.94222	778.25	827.77389	855.134445	883.413335	NaN	848.05	924.110555	781.608055	885.27389	847.77389	698.05278	791.831665	806.110555	801.413335	870.610555	NaN	0	NaN	5.6802775	3.05278	17.5	38.884445	-13.581665	21.663335	53.72111	12.80278	NaN	317	345	312.5	NaN	NaN	329	322	347	230	278	221	NaN	NaN	206	198	232	13	9	NaN	NaN	23	31	26	26	NaN	200	NaN	148	31	27	18	20	NaN	0	NaN	4	NaN	NaN	150	130	162.5	40	150	190	175	100	185	180	NaN	70	65	70	15	75	100	90	40	110	90	NaN	4	737	684	695.5	NaN	757	739	834	792	764	92	80	90.75	NaN	90	97	100	101	101	40	45	20	55	NaN	20	35	20	55	NaN	40	47.5	NaN	45	NaN	NaN	0	0	0	NaN	NaN	40	94	145	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	65.87	NaN	NaN	NaN	NaN	NaN	NaN	15.185	NaN	NaN	NaN	NaN	NaN	4.255	NaN	NaN	NaN	NaN	3	NaN	NaN	NaN	6.75	6.75	3.5	27	NaN	25.895	NaN	NaN	28	24.31	28	14	NaN	20.205	NaN	NaN	19.6	20.95	22.95	40	40	39.6575	NaN	NaN	43	40.345	38.5	121	126	151.39	NaN	NaN	153	147.79	165.5	118	114	NaN	NaN	149	142.565	163	15	NaN	14	NaN	NaN	12	12	13	70	NaN	103.75	NaN	NaN	NaN	62	NaN	89.7475	NaN	NaN	95	104	95	16	NaN	28.5	NaN	NaN	30.5	NaN	NaN	4.385	NaN	NaN	3.3	5.1	4	3	3	NaN
4722	13	6	10.5	5	NaN	2	7	7.5	8	12	6	NaN	NaN	86	92	79	55	90	74	82	89	79	NaN	84	89	77	54	85	72	80	88	77	NaN	896.413335	981.875	925.55278	931.110555	916.110555	944.05278	951.94222	1055.75	1110.77389	NaN	982.77	860.19222	947.3436125	888.331665	914.163335	856.384445	910.02389	920	1020.581665	1074.5	NaN	36.97	36.22111	34.5263875	37.22111	16.94222	59.72111	34.02389	31.94222	35.163335	36.27389	NaN	319	364	365	316	353	304	354	380	184	233	247.5	193	195	227	245	216	12	12	10.5	7	13	5	12	13	NaN	266	NaN	204	21	21	17	15	NaN	4	NaN	3	8	NaN	150	140	150	120	145	155	160	115	170	160	NaN	85	75	82.5	50	65	90	85	55	95	75	NaN	4	726	787	747.5	727	776	772	800	741	818	102	93	92.25	84	88	94	101	104	81	70	60	67.5	55	65	60	65	NaN	70	NaN	57.5	67.5	NaN	60	NaN	NaN	NaN	0.5	1	NaN	NaN	65	89	147	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.34	60	63.73	62.46	59.63	62.71	NaN	12.99	14.55	14.32	15.74	13.46	14.29	4.38	3.37	4.25	4.24	4.2	4.17	3	NaN	NaN	NaN	7.75	7.5	6.5	28	26	22.775	NaN	21	26	22.63	31	72	21.5	15.635	NaN	12.1	11.8	20.45	26.2	32	30	NaN	NaN	30	34	30.155	36	137	174	140.765	NaN	127	88	161.245	188	133	112	NaN	113	61	154.66	184	11	12	NaN	NaN	12	12	12	14	30	NaN	NaN	NaN	30	NaN	34	53	NaN	NaN	36	26	61.4	81	20	22	NaN	NaN	23	30.5	NaN	3.5	NaN	NaN	3	3	2.5	2.8	1	3	NaN
A188	19	5	10	6	NaN	6	7	6	7	11	7	NaN	NaN	76	73	61.5	45	70	60	63	NaN	66	NaN	76	73	61	45	70	60	61	NaN	66	NaN	633.413335	704.7619425	741.94222	763.05278	667.5	718.94222	745.55278	789.163335	883.413335	NaN	859.38	633.413335	695.483055	713.05278	763.05278	667.5	718.94222	NaN	762.19222	883.413335	NaN	0	0	9.27639	28.884445	0	0	0	NaN	26.97111	0	NaN	332	346	282	254	293.5	349	369	446	229	245	188	185	217	249	269	248	18.5	15	10	14	17.5	20	11	15	164	188	131	178	13	12	15	19	2	0	1	1	NaN	NaN	100	120	95	75	110	160	125	80	105	130	NaN	35	35	27.5	25	35	55	30	15	45	40	NaN	5	482	633	591.75	501	653	668	666	606	724	61	76	74.5	48	71	95	74	71	87	45	45	42.5	5	NaN	47.5	55	40	55	NaN	60	60	NaN	65	NaN	NaN	NaN	0	0	NaN	NaN	40	98.5	114	0	132.5	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	64.87	63.76	68.08	NaN	67.07	63.98	NaN	15.51	16.005	14.48	NaN	13.32	14.99	5.39	4.5	3.89	NaN	4.85	4.46	2	NaN	NaN	NaN	4.75	5.25	2	25	22	20.955	18.825	NaN	28	23.825	NaN	12	13.6	7.66	5.9	NaN	13.7	14.3	NaN	43	36	NaN	33.92	NaN	44	38.195	NaN	132	132	102.4	97.39	NaN	119	139.14	NaN	107	126	93.615	NaN	101	122.79	NaN	13	12	NaN	10	NaN	14	12	NaN	60	90	NaN	30	NaN	NaN	NaN	73	NaN	28.775	NaN	83	81.8	NaN	13	22	NaN	21	NaN	24.5	NaN	6.2	NaN	3.335	NaN	5.4	5.6	NaN	2	3	NaN
A214N	11	4	10	4	NaN	7	3	7	5	14	6	NaN	NaN	95	108	82	56	91	80	82	100	86	NaN	94	108	84.5	57	91	81	82	100	88	NaN	964.80278	1034.52639	885.27389	948.610555	930.831665	1037.413335	841.110555	1055.75	1233.634445	NaN	1139.86	964.80278	1074.331668	885.27389	964.44222	930.831665	1055.77389	866.663335	1055.75	1265.19222	NaN	14.66	0	-39.8027775	0	-15.831665	0	-18.360555	-25.55278	0	-31.552775	NaN	307	297	313.5	200	283	254	304	312	233.5	218	257.5	184	223	182	224	226	7.5	10	6	2	5	7	9	9	232	216	NaN	198	21	25	24	23	1	1	NaN	2	1	NaN	170	190	165	70	120	155	165	80	NaN	180	NaN	105	110	100	35	55	95	90	20	NaN	80	NaN	5	733	767	742.25	531	692	687	657	752	767	76	69	83	73	64	92	95	101	66	80	90	NaN	60	50	NaN	75	NaN	NaN	NaN	70	77.5	NaN	50	NaN	NaN	NaN	0	1	NaN	NaN	80	83	133	1	NaN	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	63.585	NaN	70.16	NaN	NaN	NaN	NaN	13.095	NaN	12.1	NaN	NaN	NaN	3.445	NaN	3.24	NaN	NaN	3	NaN	NaN	NaN	8.25	8.25	3	25	28	19.61	18.52	22	NaN	20.715	26	10	14.9	12.6625	5	10.1	NaN	12.7	17.3	27	35	NaN	31.375	37	NaN	30.75	38	117	149	160.0925	89.425	123	NaN	176.01	167.5	111	133	69.375	79	NaN	140.19	148.5	10	12	NaN	12	14	NaN	12	13	40	40	NaN	NaN	60	80	40.5	40	NaN	NaN	46	NaN	54.7	81.5	16	24	NaN	NaN	10	29	NaN	3.3	NaN	NaN	5	NaN	4.15	4.95	1	3	NaN
A239	12	8	9.5	2	NaN	1	5	7.5	6	8	7	NaN	NaN	77	93	68	50	76	64	72	78	67	NaN	78	90	66.5	50	76	65	71	78	66	NaN	904.77389	798.89889	NaN	847.77389	736.94222	778.25	797.5	895.52389	895.134445	NaN	885	870.55278	781.608055	NaN	847.77389	736.94222	791.831665	797.5	882.27389	883.413335	NaN	-13.38	34.22111	17.288335	NaN	0	0	-13.581665	0	13.25	11.72111	NaN	310	350	310.5	NaN	NaN	278	330	431	249	283	219	NaN	NaN	226	242	287	4	4	6	NaN	7	4	4	8	NaN	230	NaN	166	24	20	15	11	NaN	0	NaN	1	NaN	NaN	125	90	125	30	130	155	120	90	120	150	NaN	50	15	45	10	55	70	50	30	50	70	NaN	5	603	660	603	NaN	722	634	614	758	820	75	70	80.25	NaN	90	71	78	71	90	60	60	55	55	60	55	55	60	NaN	NaN	70	55	NaN	45	NaN	NaN	NaN	0	0	NaN	NaN	65	NaN	146	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	70.26	66.11	NaN	69.91	69.99	69.71	NaN	14.32	12.965	NaN	12.15	12.75	12.11	3.6	3.64	NaN	3.76	4.64	3.18	4	NaN	NaN	NaN	8.25	8.25	5.5	NaN	24	22.535	NaN	23.5	25	25.92	NaN	NaN	6.15	12.01	NaN	12.1	17.5	17.52	NaN	NaN	34	34.345	NaN	38	40	38.5	NaN	NaN	114	126.1875	NaN	129	124	128.6	NaN	NaN	90	NaN	120	116	116.945	NaN	NaN	12	11	NaN	14	12	14	NaN	NaN	60	NaN	NaN	65	NaN	NaN	47	NaN	NaN	67	104	79.93	NaN	NaN	19	NaN	NaN	21	23	NaN	NaN	NaN	NaN	4.65	7.4	5.835	NaN	3	2	NaN
A272	2	2	4.5	6	NaN	1	3	4	8	8	5	NaN	NaN	78	NaN	71.5	54	79	69	77	81	70	NaN	78	NaN	69.5	52	77	68	71	83	70	NaN	NaN	862.0263875	867.5	914.163335	772.5	856.5	866.663335	969.94222	939.44222	NaN	885	NaN	829.4158325	829.163335	882.22111	748.331665	839	815	882.27389	939.44222	NaN	0	NaN	32.610555	38.331665	31.94222	24.163335	17.5	51.663335	87.663335	0	NaN	279	290	266.5	222	243.5	244	314	243	216.5	220	201.5	180	177.5	166	271	191	12	6	11	9	12	10	7	11	148	188	112	158	28	25	14	13	1	0	0	1	NaN	NaN	135	135	142.5	105	130	140	165	105	NaN	140	NaN	55	30	40	35	50	55	75	25	NaN	50	NaN	5	588	623	532.5	576	676	646	720	699	677	81	67	65.25	54	68	88	80	71	103	55	50	45	35	50	50	60	60	55	NaN	35	42.5	NaN	NaN	NaN	NaN	NaN	0	0	NaN	NaN	65	68	153	0	55	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4	NaN	NaN	NaN	5.5	4.75	3	17	21	19.235	16.76	NaN	23	20.795	23	3.3	8.3	6.39	3.37	NaN	8.95	8.15	9.6	26	32	26.795	22.475	32	31.5	30.285	36	96	114	116.075	82.69	121	125.5	109.56	121	85	113	69.435	76	118.5	98.55	110	11	12	11	10	12	12	12	8	15	60	NaN	12.5	NaN	60	12.4	NaN	NaN	8.905	NaN	44.5	NaN	44	14	30	18	12	18	15.5	NaN	4.4	NaN	2.595	NaN	3.2	3.5	5.9	2	3	NaN
A441-5	14	7	9	6	NaN	5	2	7	4	12	8	NaN	NaN	86	102	80	58	86	78	76	90	78	NaN	84	100	78.5	57	84	76	75	87	77	NaN	964.80278	999.235555	990.27389	980.55278	870.27389	1002.75	904.72111	953	1095.52389	NaN	982.77	964.80278	974.6658325	925.55278	964.44222	841.663335	970.610555	854.163335	937.97111	1074.5	NaN	36.97	0	24.5672225	64.72111	16.110555	28.610555	32.134445	50.55278	15.02389	21.02389	NaN	256	217	232.5	233	241	248	286	270	191	178	163.5	168	150	154	182	206	16	9	9	10	13	20	12	14	NaN	130	122	125	25	26	17	26	NaN	0	1	3	1	NaN	115	80	115	90	105	105	95	85	NaN	120	NaN	45	30	65	35	50	55	35	40	NaN	50	NaN	4.333333333	695	631	774.75	721	803	784	741	827	808	116	91	94.75	84	91	108	96	128	111	65	40	52.5	40	60	65	40	50	NaN	NaN	65	57.5	NaN	65	NaN	NaN	0	0.5	1	NaN	NaN	60	107	116	0	NaN	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	69.04	NaN	NaN	NaN	NaN	NaN	NaN	14.61	NaN	NaN	NaN	NaN	NaN	2.95	NaN	NaN	NaN	3	NaN	NaN	NaN	8	8	4.5	NaN	NaN	22.39	19	29	25	24.275	25.5	NaN	NaN	9.985	5.02	18.8	NaN	14.25	13.4	NaN	28	NaN	32.34	45	42	37.945	43.5	NaN	69	97.575	72.4	110	109	111.045	144.5	NaN	NaN	61.56	109	106	105.32	140	NaN	NaN	10	10	12	12	12	12	NaN	NaN	NaN	25	90	NaN	NaN	10	NaN	23.08	82	75	62.55	94	NaN	NaN	NaN	8	14	24	NaN	NaN	NaN	6.88	6.4	8.45	4.2	5.6	1	3	NaN
