Gen	K_5
12E	Mixed
3167B	Mixed
33-16	Mixed
38-11	Pop5
4226	Mixed
4722	Pop4
A131	Mixed
A188	Mixed
A214N	Mixed
A239	Pop5
A272	Pop3
A3G-3-1-3	Pop3
A441-5	Mixed
A554	Pop5
A556	Pop5
A6	Pop3
A619	Pop5
A632	Pop2
A634	Pop2
A635	Pop2
A641	Mixed
A654	Pop5
A659	Pop5
A661	Mixed
A679	Pop2
A680	Pop2
A682	Pop5
AB18	Pop4
AB26A	Pop4
AB28A	Mixed
AB608A	Mixed
AH83	Pop5
AMES10244	Mixed
AMES10247	Mixed
AMES10249	Mixed
AMES10250	Mixed
AMES10251	Mixed
AMES10252	Mixed
AMES10253	Mixed
AMES10254	Mixed
AMES10255	Mixed
AMES10256	Mixed
AMES10257	Mixed
AMES10258	Mixed
AMES10259	Mixed
AMES10260	Mixed
AMES10261	Mixed
AMES10262	Mixed
AMES10263	Pop3
AMES10264	Pop3
AMES10265	Mixed
AMES10266	Mixed
AMES10267	Mixed
AMES10268	Mixed
AMES10269	Mixed
AMES10271	Mixed
AMES10272	Mixed
AMES10273	Mixed
AMES10274	Mixed
AMES10276	Mixed
AMES10277	Mixed
AMES10287	Mixed
AMES12725	Mixed
AMES12726	Mixed
AMES12727	Mixed
AMES12728	Mixed
AMES12730	Mixed
AMES12733	Mixed
AMES12736	Mixed
AMES12737	Mixed
AMES12738	Mixed
AMES12739	Mixed
AMES12740	Mixed
AMES12814	Mixed
AMES12815	Pop2
AMES12816	Mixed
AMES12817	Pop5
AMES12818	Pop2
AMES12819	Pop5
AMES12820	Pop5
AMES12821	Mixed
AMES12822	Mixed
AMES12823	Mixed
AMES12824	Pop2
AMES14111	Mixed
AMES14112	Mixed
AMES14113	Pop5
AMES14114	Pop5
AMES14115	Pop5
AMES14116	Pop5
AMES14211	Mixed
AMES14408	Pop3
AMES19001	Pop5
AMES19003	Pop5
AMES19004	Mixed
AMES19005	Pop5
AMES19006	Pop5
AMES19007	Pop5
AMES19008	Pop5
AMES19009	Pop5
AMES19010	Mixed
AMES19011	Pop5
AMES19012	Pop5
AMES19013	Pop5
AMES19014	Pop5
AMES19015	Pop5
AMES19017	Mixed
AMES19019	Pop5
AMES19282	Mixed
AMES19283	Mixed
AMES19285	Pop5
AMES19286	Pop5
AMES19287	Pop5
AMES19289	Pop5
AMES19290	Pop5
AMES19292	Pop5
AMES19294	Pop5
AMES19310	Mixed
AMES19318	Pop5
AMES19321	Mixed
AMES19324	Pop5
AMES20116	Mixed
AMES20118	Mixed
AMES20119	Pop5
AMES20120	Pop5
AMES20136	Mixed
AMES20137	Mixed
AMES20191	Mixed
AMES21095	Mixed
AMES21096	Mixed
AMES22011	Pop1
AMES22012	Pop1
AMES22013	Pop1
AMES22014	Mixed
AMES22015	Pop1
AMES22016	Pop1
AMES22017	Pop1
AMES22018	Pop1
AMES22019	Pop1
AMES22020	Pop1
AMES22021	Pop1
AMES22022	Pop1
AMES22023	Pop1
AMES22024	Pop1
AMES22025	Pop1
AMES22026	Mixed
AMES22027	Pop1
AMES22028	Pop1
AMES22029	Pop1
AMES22030	Pop1
AMES22031	Mixed
AMES22032	Pop1
AMES22033	Pop1
AMES22034	Pop1
AMES22035	Pop5
AMES22036	Pop1
AMES22037	Pop1
AMES22038	Pop1
AMES22039	Pop1
AMES22040	Pop1
AMES22041	Pop1
AMES22042	Pop1
AMES22043	Pop1
AMES22044	Pop1
AMES22045	Pop1
AMES22046	Pop1
AMES22047	Pop1
AMES22048	Pop1
AMES22049	Pop1
AMES22050	Pop1
AMES22051	Pop1
AMES22052	Pop1
AMES22053	Pop1
AMES22054	Pop1
AMES22055	Pop1
AMES22056	Pop1
AMES22057	Pop1
AMES22058	Pop1
AMES22059	Pop1
AMES22060	Pop1
AMES22061	Pop1
AMES22062	Pop1
AMES22063	Pop1
AMES22064	Pop1
AMES22065	Pop1
AMES22066	Pop1
AMES22067	Pop1
AMES22439	Pop5
AMES22441	Mixed
AMES22442	Pop5
AMES22747	Mixed
AMES22748	Pop2
AMES22749	Pop5
AMES22750	Pop5
AMES22751	Mixed
AMES22752	Pop2
AMES22753	Pop2
AMES22755	Pop5
AMES22756	Mixed
AMES22757	Mixed
AMES22758	Mixed
AMES22759	Pop3
AMES22760	Mixed
AMES22761	Mixed
AMES22762	Pop5
AMES22765	Pop5
AMES22766	Pop3
AMES22767	Mixed
AMES22792	Mixed
AMES22793	Mixed
AMES22794	Pop5
AMES2325	Mixed
AMES2326	Pop3
AMES2327	Mixed
AMES2328	Mixed
AMES2329	Pop5
AMES2330	Mixed
AMES2331	Pop3
AMES2332	Mixed
AMES2333	Mixed
AMES2334	Mixed
AMES2335	Mixed
AMES2336	Mixed
AMES2337	Mixed
AMES2338	Mixed
AMES23389	Mixed
AMES2339	Mixed
AMES23391	Mixed
AMES23392	Mixed
AMES23393	Mixed
AMES23394	Mixed
AMES23395	Pop5
AMES23396	Pop5
AMES23397	Pop5
AMES23398	Mixed
AMES23399	Pop5
AMES2340	Mixed
AMES23400	Pop5
AMES23401	Pop5
AMES23402	Pop5
AMES23403	Pop5
AMES23404	Pop5
AMES23406	Pop5
AMES23407	Pop5
AMES23408	Mixed
AMES23409	Pop5
AMES2341	Pop5
AMES23410	Mixed
AMES23413	Mixed
AMES23414	Mixed
AMES23415	Mixed
AMES23417	Mixed
AMES23418	Mixed
AMES23419	Pop5
AMES23420	Mixed
AMES23421	Pop5
AMES23422	Mixed
AMES23423	Mixed
AMES23424	Mixed
AMES23425	Pop5
AMES23426	Pop5
AMES23427	Pop5
AMES23428	Pop5
AMES23429	Mixed
AMES23430	Mixed
AMES23431	Mixed
AMES23433	Mixed
AMES23434	Pop5
AMES23435	Mixed
AMES23436	Pop5
AMES23437	Pop5
AMES23438	Pop5
AMES23439	Mixed
AMES23440	Mixed
AMES23441	Mixed
AMES23442	Pop5
AMES23443	Pop5
AMES23444	Mixed
AMES23445	Mixed
AMES23446	Mixed
AMES23447	Mixed
AMES23448	Pop5
AMES23449	Pop5
AMES23451	Mixed
AMES23452	Mixed
AMES23455	Pop5
AMES23456	Pop5
AMES23457	Pop5
AMES23458	Pop5
AMES23459	Mixed
AMES23460	Mixed
AMES23461	Mixed
AMES23463	Mixed
AMES23464	Pop5
AMES23465	Pop5
AMES23466	Pop5
AMES23467	Pop5
AMES23468	Pop2
AMES23469	Pop2
AMES23470	Pop2
AMES23471	Pop2
AMES23473	Pop2
AMES23474	Pop2
AMES23475	Pop5
AMES23476	Pop5
AMES23477	Mixed
AMES23478	Mixed
AMES23479	Pop5
AMES23480	Pop5
AMES23481	Pop5
AMES23482	Pop5
AMES23483	Pop5
AMES23484	Mixed
AMES23485	Pop5
AMES23486	Pop5
AMES23487	Pop5
AMES23488	Mixed
AMES23490	Mixed
AMES23491	Pop5
AMES23492	Mixed
AMES23493	Pop5
AMES23494	Pop5
AMES23495	Pop5
AMES23496	Pop2
AMES23497	Mixed
AMES23498	Mixed
AMES23499	Mixed
AMES23500	Pop5
AMES23501	Pop5
AMES23502	Mixed
AMES23504	Pop2
AMES23505	Pop5
AMES23507	Pop1
AMES23508	Pop1
AMES23509	Pop1
AMES23510	Pop1
AMES23922	Mixed
AMES23923	Pop3
AMES23924	Pop3
AMES24585	Mixed
AMES24589	Mixed
AMES24590	Mixed
AMES24704	Pop5
AMES24705	Mixed
AMES24706	Mixed
AMES24707	Mixed
AMES24708	Mixed
AMES24709	Pop5
AMES24710	Pop1
AMES24711	Pop5
AMES24713	Mixed
AMES24714	Mixed
AMES24715	Mixed
AMES24716	Mixed
AMES24717	Mixed
AMES24718	Pop5
AMES24719	Pop5
AMES24720	Mixed
AMES24721	Mixed
AMES24722	Pop5
AMES24723	Pop1
AMES24724	Pop5
AMES24725	Pop5
AMES24727	Pop5
AMES24728	Pop5
AMES24729	Mixed
AMES24730	Pop5
AMES24732	Mixed
AMES24733	Mixed
AMES24735	Pop5
AMES24736	Pop5
AMES24737	Mixed
AMES24738	Pop5
AMES24739	Pop5
AMES24740	Pop5
AMES24741	Mixed
AMES24742	Mixed
AMES24743	Pop5
AMES24744	Mixed
AMES24745	Pop5
AMES24746	Mixed
AMES24747	Mixed
AMES24748	Pop5
AMES24749	Pop5
AMES24750	Pop5
AMES24751	Mixed
AMES25177	Mixed
AMES25179	Mixed
AMES25181	Mixed
AMES25182	Mixed
AMES25218	Mixed
AMES25219	Pop5
AMES25220	Pop5
AMES25221	Pop5
AMES2523	Pop5
AMES25372	Pop5
AMES25373	Pop5
AMES25374	Pop5
AMES25559	Mixed
AMES26004	Mixed
AMES26021	Mixed
AMES26022	Mixed
AMES26028	Mixed
AMES26114	Mixed
AMES26115	Pop5
AMES26117	Mixed
AMES26118	Mixed
AMES26119	Mixed
AMES26120	Mixed
AMES26121	Mixed
AMES26122	Mixed
AMES26123	Mixed
AMES26124	Mixed
AMES26125	Mixed
AMES26126	Mixed
AMES26127	Mixed
AMES26128	Pop5
AMES26129	Mixed
AMES26130	Mixed
AMES26131	Mixed
AMES26132	Mixed
AMES26133	Mixed
AMES26134	Pop5
AMES26135	Mixed
AMES26136	Mixed
AMES26137	Mixed
AMES26253	Pop3
AMES26439	Mixed
AMES26443	Mixed
AMES26484	Pop2
AMES26501	Mixed
AMES26511	Mixed
AMES26741	Pop5
AMES26742	Mixed
AMES26743	Pop5
AMES26744	Pop2
AMES26745	Pop5
AMES26746	Pop5
AMES26747	Mixed
AMES26748	Pop5
AMES26749	Mixed
AMES26750	Mixed
AMES26751	Mixed
AMES26752	Mixed
AMES26753	Mixed
AMES26754	Mixed
AMES26755	Pop5
AMES26756	Pop5
AMES26757	Pop5
AMES26758	Pop5
AMES26760	Pop2
AMES26761	Pop2
AMES26762	Pop2
AMES26763	Pop2
AMES26764	Pop5
AMES26765	Pop5
AMES26766	Pop5
AMES26767	Pop5
AMES26768	Pop5
AMES26769	Pop5
AMES26770	Mixed
AMES26772	Pop5
AMES26773	Pop5
AMES26774	Mixed
AMES26775	Mixed
AMES26776	Mixed
AMES26777	Mixed
AMES26778	Mixed
AMES26779	Mixed
AMES26780	Pop5
AMES26781	Pop5
AMES26782	Pop5
AMES26783	Pop5
AMES26784	Pop5
AMES26785	Pop5
AMES26786	Pop5
AMES26788	Pop5
AMES26789	Mixed
AMES26790	Pop5
AMES26791	Mixed
AMES26792	Mixed
AMES26793	Pop5
AMES26794	Mixed
AMES26795	Pop5
AMES26796	Mixed
AMES26797	Mixed
AMES26798	Pop5
