Trait	Fold	Avg_Cor	SD	Heritability	Order	Trait_Type
StandCount	10	0.07506247104	0.026052493586426185	0.4299611037868844	2	Other
GDDAnthesis-SilkingInterval	2	0.07524402978	0.0512878947680826	0.7719459150445848	5	Flowering
StandCount	2	0.07633215086	0.049501828740002224	0.4299611037868844	2	Other
StandCount	5	0.08099435386	0.03784500541761363	0.4299611037868844	2	Other
GDDAnthesis-SilkingInterval	5	0.13753643842	0.039329477234085225	0.7719459150445848	5	Flowering
TilleringIndex	2	0.14594271682	0.08874139171585213	0.18121519566687366	3	Other
GDDAnthesis-SilkingInterval	10	0.14648090718	0.0260076362486929	0.7719459150445848	5	Flowering
TotalKernelVolume	2	0.16818814406	0.059835857670348505	0.3215093955789588	6	Kernel
TilleringIndex	5	0.18608564478	0.05093456383589577	0.18121519566687366	3	Other
TilleringIndex	10	0.19439319844	0.032852228284064075	0.18121519566687366	3	Other
Spikelets-PrimaryBranch	2	0.19717346722	0.053940982297116594	0.5158957631554765	7	Tassel
TotalKernelVolume	5	0.2041831841	0.03695548629513615	0.3215093955789588	6	Kernel
EarRankNumber	2	0.21514940294	0.04228639562986852	0.49642013779556476	7	Ear
SeedSetLength	2	0.21773075336	0.05396903620976846	0.640099938763373	9	Ear
Spikelets-MainSpike	2	0.22086208426	0.04631791633453355	0.4354663732469482	6	Tassel
TotalKernelVolume	10	0.22155576426	0.02482427519427935	0.3215093955789588	6	Kernel
Spikelets-PrimaryBranch	5	0.2324264697	0.024632113742902112	0.5158957631554765	7	Tassel
Spikelets-PrimaryBranch	10	0.23361872542	0.021473910213711263	0.5158957631554765	7	Tassel
EarRankNumber	5	0.25073443666	0.019814384744758835	0.49642013779556476	7	Ear
EarRankNumber	10	0.2524656794	0.01731281857811138	0.49642013779556476	7	Ear
Spikelets-MainSpike	5	0.2615206381	0.025624670997636715	0.4354663732469482	6	Tassel
EarLength	2	0.2669618465	0.05386665623280333	0.7769910223564288	6	Ear
SeedSetLength	5	0.2764038313	0.026033780656124633	0.640099938763373	9	Ear
Spikelets-MainSpike	10	0.27737593982	0.01777818435718464	0.4354663732469482	6	Tassel
SeedSetLength	10	0.28799327168	0.02191956388528693	0.640099938763373	9	Ear
MainSpikeLength	2	0.3173984286	0.05261417178257101	0.9151844562500864	4	Tassel
GerminationCount	2	0.3199321213	0.04881978642322376	0.6643432501493108	5	Kernel
EarLength	5	0.32140059756	0.03310685085947553	0.7769910223564288	6	Ear
EarLength	10	0.33227498092	0.020802952246935708	0.7769910223564288	6	Ear
NIRProtein	2	0.34257723694	0.037475198348030224	0.715913276670638	4	Kernel
NIRStarch	2	0.34572750298	0.0497229414305268	0.7470403983384164	3	Kernel
GerminationCount	5	0.35333766698	0.021841998135550093	0.6643432501493108	5	Kernel
GerminationCount	10	0.36605724584	0.016276750247456184	0.6643432501493108	5	Kernel
MainSpikeLength	5	0.36762422002	0.02549177961599459	0.9151844562500864	4	Tassel
NIRProtein	5	0.3716428984	0.020962616037927498	0.715913276670638	4	Kernel
CobWeight	2	0.37219587792	0.046666479307391456	0.6863475004866392	2	Ear
NIRProtein	10	0.38105975086	0.017976558113340237	0.715913276670638	4	Kernel
MainSpikeLength	10	0.38427691766	0.01631331843150434	0.9151844562500864	4	Tassel
NIRStarch	5	0.3950514845	0.029200576263798964	0.7470403983384164	3	Kernel
20KernelWeight	2	0.40018630218	0.05968048380845165	0.7147814892410599	1	Kernel
NIRStarch	10	0.40578479844	0.017732220931235887	0.7470403983384164	3	Kernel
NIROil	2	0.4211973868	0.04328706232085239	0.8194470333936087	2	Kernel
TotalKernelWeight	2	0.42428077894	0.03678619331492968	0.628515319450549	3	Ear
TasselBranchLength	2	0.43470763982	0.04205052320265147	0.7968848820913803	3	Tassel
CobWeight	5	0.4367192307	0.024951503952290635	0.6863475004866392	2	Ear
EarRowNumber	2	0.44932683628	0.03560322504145172	0.8439569798092172	8	Ear
CobWeight	10	0.45010672622000003	0.016257257450164465	0.6863475004866392	2	Ear
CobDiameter	2	0.45249742702	0.0342243703303234	0.8368792591922583	5	Ear
EarWeight	2	0.45588235252	0.03295752758592241	0.6717480124826651	1	Ear
20KernelWeight	5	0.45639498294	0.01973146457257937	0.7147814892410599	1	Kernel
TasselLength	2	0.4570136341	0.0385346964678995	0.9248283893983353	1	Tassel
MiddleLeafAngle	2	0.4630308381	0.03775763530067176	0.7458053138464079	2	Plant Architecture
NIROil	5	0.46503468768	0.02385791286275822	0.8194470333936087	2	Kernel
20KernelWeight	10	0.46632499892	0.014706940808736985	0.7147814892410599	1	Kernel
NIROil	10	0.46783543168	0.01593078526864816	0.8194470333936087	2	Kernel
TotalKernelWeight	5	0.4679267571	0.017586196231911246	0.628515319450549	3	Ear
TotalKernelWeight	10	0.4775987261	0.014150738810932576	0.628515319450549	3	Ear
TasselBranchLength	5	0.4818848507	0.022955878182004594	0.7968848820913803	3	Tassel
TasselBranchLength	10	0.49228785538000003	0.015400266950719815	0.7968848820913803	3	Tassel
TasselLength	5	0.49319220822	0.022303756494201087	0.9248283893983353	1	Tassel
EarWeight	5	0.49721320336	0.019412192865296198	0.6717480124826651	1	Ear
MiddleLeafAngle	5	0.49944084872	0.021669815317740277	0.7458053138464079	2	Plant Architecture
EarRowNumber	5	0.50254832984	0.014610655310689568	0.8439569798092172	8	Ear
TasselLength	10	0.50518738996	0.01402896516380848	0.9248283893983353	1	Tassel
MiddleLeafAngle	10	0.50581031478	0.014550469410827754	0.7458053138464079	2	Plant Architecture
EarWeight	10	0.50616565462	0.012749051955964484	0.6717480124826651	1	Ear
SecondaryBranchNumber	2	0.51021114848	0.024752525619297527	0.815999385699659	5	Tassel
EarRowNumber	10	0.51077933034	0.011992872621590786	0.8439569798092172	8	Ear
PlantHeight	2	0.51093870524	0.034073544871767746	0.9388113181665506	3	Plant Architecture
CobDiameter	5	0.51453049334	0.021019780271349185	0.8368792591922583	5	Ear
EarDiameter	2	0.51639594412	0.03584556913857358	0.8095560241919194	4	Ear
CobDiameter	10	0.53160301636	0.012659253936547538	0.8368792591922583	5	Ear
SecondaryBranchNumber	5	0.54294032192	0.01645531698833753	0.815999385699659	5	Tassel
SecondaryBranchNumber	10	0.55024902688	0.011561801116301434	0.815999385699659	5	Tassel
PlantHeight	5	0.55028069218	0.016563163657041486	0.9388113181665506	3	Plant Architecture
