Gen	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	UpperLeafAngle	TotalKernelWeight
1	4.493037579	26.32598757	16.03880211	88.62125197	86.85785114	36.99088689	79.37126043	125.1839369	20.53562629	13.32751914	62.74718626	23.91789536	1029.244506	1014.112214	5.946045387	829.9020986	89.97185069	226.869992	65.87312109	4.512398091	13.96829251	66.1351165	148.12331	3.035800275	108.5624994	7.573869546	22.6241567	14.8907036	7.603169555	211.4824004	340.2934164	14.30779448	0.58746009	60.53798129	66.05513166	47.18663025
2	4.727562781	25.820468	17.06898401	76.461386	74.541365	38.07178227	62.27361767	132.0497216	21.37019866	14.36733892	72.30022402	26.04068165	905.2781425	878.19081	6.933771546	718.9001731	83.55611069	212.7916923	60.65114397	4.179135607	14.30184525	66.708197	137.0441657	1.662966786	114.4869356	6.250889782	25.12808303	15.65216763	7.648851411	193.5741854	306.1922645	9.44753122	0.578034328	62.64805258	56.23658245	55.76357516
3	4.713751958	25.77782503	15.89713804	84.50729877	83.21666896	36.95703431	72.36707958	124.2088966	20.53851432	12.92453933	61.90722848	22.13318514	987.647499	977.9794509	6.080726778	796.5796425	90.45988856	225.182305	64.450719	4.45704512	13.99392603	66.30880261	144.4978137	2.594470804	108.8872236	7.128006492	22.6796133	14.99899325	7.569097069	209.1003422	332.4550156	13.36824931	0.585528914	60.00066381	63.08491501	46.83223912
4	3.359753283	22.22884336	12.63044858	75.79747547	74.07364703	31.19273031	62.87553871	125.7597107	21.66793305	13.24210205	48.49297785	26.01049303	888.6709307	866.3992727	6.416974945	694.3062648	76.70232327	217.1164006	56.47567165	4.23027315	14.11119545	65.80160854	123.6979864	1.669397448	111.6055157	6.441871613	24.34982709	16.72801532	7.569132832	190.1492393	314.3752114	13.84844398	0.588611338	55.19720175	50.02168019	37.55463009
5	4.543892334	26.05148603	15.96050551	86.35643053	85.0204	36.86912181	78.35285159	125.0829564	20.58534006	13.16104345	62.90244381	23.20631077	1002.77812	992.2344553	6.152782775	823.5990261	89.89337552	228.8834324	65.3278688	4.386512992	13.96271529	66.34332562	148.4557303	2.863800062	108.7125512	7.34338235	22.87723067	14.88211714	7.595246749	212.7482707	340.5262257	14.59378968	0.586476253	60.37223953	64.32945426	47.63138818
6	4.55622557	26.01205296	15.9330401	88.19210246	86.52247836	36.76212819	78.82051449	125.2199601	20.53195753	13.1715441	63.37215193	24.06443793	1020.770914	1008.803298	5.994925574	826.6346177	89.34165304	228.5116655	64.7535312	4.442959394	14.0713682	66.12753754	146.995495	2.988852871	108.6760835	7.451629459	22.29520423	14.59486849	7.612036896	211.6107728	336.4390225	14.17763446	0.584899382	60.69736813	63.81602886	47.90763668
7	4.368491916	24.03291886	15.13787824	68.6193337	68.1029719	35.21520416	50.41838238	117.2283525	20.69610114	12.75927783	58.81310598	17.98795599	787.9872394	782.3396372	6.88278461	601.9030349	78.25482119	209.8316711	55.34113541	4.107219365	14.10070688	66.73617603	111.9493913	1.25561413	106.5335493	6.09918538	23.49096418	16.3059212	7.554650362	175.2366603	286.6658862	9.126242435	0.568479654	58.6621972	48.32531122	45.30981387
8	5.141466561	22.67350399	14.49839615	75.03080554	72.87247378	35.3578	59.49511855	144.9577846	21.88531945	11.32971723	70.24230358	27.89825579	884.2958568	850.9551672	6.060553207	641.5627306	87.53108933	275.4868043	59.2654477	3.909625954	13.49491759	67.03796299	136.7105768	0.874764383	122.5038831	7.588516016	22.63466945	14.76157638	7.449175502	195.8015832	350.4493888	6.24050894	0.582453169	60.21376456	50.4758135	55.0731102
9	4.728098093	23.63699958	14.65019717	79.97654762	77.96507164	35.28390113	59.77995088	135.0353016	21.22637092	12.22114779	63.80094953	29.95713074	945.0160789	910.3060032	6.019909647	662.7760583	85.511877	242.0558447	62.25373353	4.207689305	13.93329532	67.03972213	135.1846511	1.182807656	115.2196911	7.382384677	23.02004716	14.83186552	7.481439939	187.8428765	324.2717767	7.997199143	0.579830385	59.13391952	58.85543373	49.49028031
10	4.74581795	25.94930101	16.38679773	78.81519232	76.60317068	37.19268082	60.33006545	132.8691869	21.24872535	13.2402686	68.80048387	26.2626574	928.7954554	901.6076003	6.364963315	747.8953462	90.7881144	237.2880848	62.20661557	4.234299322	14.16891532	66.6138324	138.54542	2.121505149	115.0863311	7.171286922	23.75432369	15.54155066	7.601562343	208.6812834	334.6370217	10.07523533	0.579357391	61.35199465	57.69028931	52.46620584
