Trait	Order
20KernelWeight	1
CobDiameter	5
CobWeight	2
DaystoSilk	1
DaysToTassel	3
EarDiameter	4
EarHeight	4
EarLength	6
EarRankNumber	7
EarRowNumber	8
EarWeight	1
GDDAnthesis-SilkingInterval	5
GDDDaystoSilk	2
GDDDaystoTassel	4
GerminationCount	5
TotalKernelWeight	3
LeafLength	6
LeafWidth	5
MainSpikeLength	4
MiddleLeafAngle	2
NIROil	2
NIRProtein	4
NIRStarch	3
PlantHeight	3
SecondaryBranchNumber	5
SeedSetLength	9
SouthernLeafBlight	1
Spikelets-MainSpike	6
Spikelets-PrimaryBranch	7
StandCount	2
TasselBranchLength	3
TasselLength	1
TasselPrimaryBranches	2
TilleringIndex	3
TotalKernelVolume	6
UpperLeafAngle	1
